@RELATION stars

@ATTRIBUTE object_id STRING
@ATTRIBUTE spectral_class NUMERIC
@ATTRIBUTE luminosity_class NUMERIC
@ATTRIBUTE motion_type NUMERIC
@ATTRIBUTE v_magnitude NUMERIC
@ATTRIBUTE parallax NUMERIC
@ATTRIBUTE pm_ra NUMERIC
@ATTRIBUTE pm_dec NUMERIC
@ATTRIBUTE radial_velocity NUMERIC
@ATTRIBUTE ra_degrees NUMERIC
@ATTRIBUTE dec_degrees NUMERIC
@ATTRIBUTE b_magnitude NUMERIC
@ATTRIBUTE r_magnitude NUMERIC
@ATTRIBUTE g_magnitude NUMERIC
@ATTRIBUTE j_magnitude NUMERIC
@ATTRIBUTE h_magnitude NUMERIC
@ATTRIBUTE k_magnitude NUMERIC
@ATTRIBUTE i_magnitude NUMERIC
@ATTRIBUTE distance_pc NUMERIC

@DATA
'HD 105848','G','V','Normal',9.75,7.3374,18.505,-17.019,20.27,182.765284,-17.609346,10.42,?,?,8.682,8.454,8.407,?,136.29
'HD 296472','A','V','Normal',11.13,0.6564,-0.911,0.427,?,107.256203,-3.973643,11.17,?,?,11.192,11.21,11.202,?,1523.46
'HD 150930','B','III','Normal',8.87,1.2128,-1.577,-5.246,?,251.836664,-57.035031,8.94,?,?,8.527,8.502,8.486,?,824.54
'HIP 967','K','III','High_Proper_Motion',6.162,5.2168,60.634,10.63,14.88,2.996188,48.152398,7.635,?,?,3.866,3.096,2.829,?,191.69
'HD 53361','B','V','Normal',8.75,3.1329,-10.959,-4.679,?,106.190253,-1.67225,8.75,?,?,8.69,8.697,8.695,?,319.19
'HR 7275','K','III','Normal',5.893,13.8464,-101.057,-54.474,5.44,287.107452,52.425731,6.982,?,?,3.718,3.16,2.937,?,72.22
'HR 5704','B','V','Normal',?,7.27,-12.97,-34.24,-16.9,230.844346,-59.320781,?,?,?,3.54,3.08,3.04,?,137.55
'HD 156798','K','V','Normal',9.16,5.4727,36.174,17.649,-15.45,259.383878,44.50508,10.1,?,?,7.516,7.066,6.962,?,182.73
'HD 191676','G','IV','Normal',9.62,3.8958,38.065,-14.344,-40.23,302.861468,-8.768402,10.7,?,?,7.67,7.149,7.009,?,256.69
'HIP 90106','G','III','Normal',9.7,1.1493,4.158,-10.722,-34.11,275.821173,-43.228926,10.67,?,?,7.945,7.523,7.396,?,870.09
